STA_ID,LONG,LAT,SEASON,Date,THG_Fish,AFDW_Floc,AFDW_Soil,Alk_Phos_SW,Bulk_Dens_Floc,Bulk_Dens_Soil,CHLA_SW,CL_SW,COND,DO,Floc_Depth_ft,H2S_PW,MEHG_epi_peri,MEHG_Floc,MEHG_Peri_AVG,MEHG_soil,MEHG_soil_peri,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,PH_soil,PH_SW,REDOX_PW,REDOX_SW,SO4_soil,SO4_SW,Soil_Thickness_FT,Sol_Reac_Phos_PW,Sol_Reac_Phos_SW,TEMP,THG_epi_peri,THG_floc,THG_peri_AVG,THG_peri_soil,THG_soil,THG_SW,TOC_SW,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Nitrogen_SW,Tot_Phos_floc,Tot_Phos_soil,Tot_Phos_SW,TURB,Wat_Depth_ft
M097,-80.677508,25.395522,D,4/7/1995,,,17.800000,,,0.650000,,,,,,,,,,0.120000,,,,,,,,,,80.000000,,0.500000,,,,,,,,62.000000,,,,,,,447.870000,,,0.000000
M082,-80.955653,25.594699,D,4/7/1995,135.490000,,16.380000,1.950000,,0.290000,,,307.000000,6.000000,,,1.940000,,0.995000,0.210000,0.050000,0.111000,,,,,7.850000,27.500000,,180.000000,2.000000,2.400000,,,23.670000,33.640000,,46.905000,60.170000,50.000000,1.950000,19.660000,,,,,179.260000,13.950000,1.220000,2.100000
M095,-80.662732,25.467892,D,4/7/1995,,,10.430000,,,0.680000,,,,,,,,,,,,,,,,,,,,75.000000,,0.500000,,,,,,,,37.000000,,,,,,,190.790000,,,0.000000
M083,-80.908778,25.614333,D,4/7/1995,83.430000,,10.070000,1.430000,,0.590000,,,341.000000,6.680000,,,0.580000,,0.570000,0.170000,0.560000,0.109000,,,,,7.730000,154.700000,,82.000000,2.000000,1.100000,,,24.320000,23.020000,,29.390000,35.760000,30.000000,1.370000,18.840000,,,,,152.120000,22.860000,0.810000,1.000000
M077,-80.822643,25.635512,D,4/7/1995,323.170000,,21.640000,1.550000,,0.440000,,,408.000000,5.850000,,,7.530000,,7.530000,0.140000,,0.469000,,,,,7.530000,202.500000,,100.000000,2.000000,0.500000,,,25.350000,45.210000,,45.210000,,54.000000,2.500000,20.880000,,,,,339.060000,32.780000,1.200000,1.500000
M061,-80.566725,25.889931,D,4/7/1995,156.240000,,85.070000,1.220000,,0.130000,,,606.000000,2.990000,,,4.390000,,3.340000,0.150000,2.290000,0.471000,,,,,7.390000,198.700000,,300.000000,8.300000,3.200000,,,24.000000,32.180000,,61.360000,90.540000,100.000000,2.190000,22.870000,,,,,521.980000,32.030000,0.830000,1.800000
M070,-80.765899,25.758436,D,4/7/1995,279.500000,,40.680000,1.300000,,0.180000,,,459.000000,4.450000,,,,,,1.200000,,0.832000,,,,,7.470000,199.300000,,210.000000,5.700000,0.300000,,,25.860000,67.980000,,67.980000,,96.000000,2.840000,21.070000,,,,,477.710000,48.280000,1.460000,1.900000
M060,-80.633786,25.900311,D,4/7/1995,250.400000,,89.400000,1.210000,,0.100000,,,493.000000,6.900000,,,5.570000,,5.570000,0.430000,,0.419000,,,,,7.590000,194.500000,,370.000000,9.200000,4.200000,,,26.720000,35.810000,,35.810000,,160.000000,2.240000,21.920000,,,,,461.230000,33.560000,0.730000,3.000000
M069,-80.862402,25.741839,D,4/7/1995,168.820000,,26.120000,1.830000,,0.360000,,,321.000000,6.300000,,,0.910000,,1.140000,0.260000,1.370000,0.114000,,,,,8.010000,199.300000,,120.000000,2.000000,1.100000,,,28.750000,64.650000,,87.035000,109.420000,73.000000,2.070000,13.690000,,,,,542.420000,23.770000,1.360000,1.200000
M056,-80.542194,25.962083,D,4/7/1995,5.150000,,86.690000,0.580000,,0.100000,,,642.000000,4.320000,,,,,,,,0.074000,,,,,7.190000,92.000000,,380.000000,21.000000,2.800000,,,24.990000,36.090000,,36.090000,,81.000000,0.997000,22.520000,,,,,421.250000,29.300000,0.490000,2.700000
M072,-80.856988,25.677228,D,4/7/1995,71.750000,,35.530000,1.810000,,0.340000,,,340.000000,8.530000,,,3.530000,,3.530000,0.260000,,0.256000,,,,,7.760000,268.500000,,120.000000,2.000000,0.600000,,,27.140000,,,,,69.000000,2.820000,15.700000,,,,,305.050000,31.780000,1.490000,0.900000
M057,-80.473241,25.927721,D,4/7/1995,211.420000,,82.520000,1.770000,,0.150000,,,657.000000,5.540000,,,,,,0.470000,,0.391000,,,,,7.330000,157.300000,,250.000000,5.900000,2.300000,,,25.640000,39.080000,,39.080000,,180.000000,2.308000,24.130000,,,,,306.390000,37.100000,1.290000,2.300000
M073,-80.778544,25.689012,D,4/7/1995,260.730000,,29.120000,2.340000,,0.300000,,,424.000000,12.550000,,,3.960000,,3.960000,0.120000,,0.545000,,,,,8.140000,206.000000,,120.000000,2.000000,0.000000,,,29.040000,55.330000,,55.330000,,84.000000,3.060000,21.180000,,,,,428.560000,38.290000,1.910000,1.600000
M063,-80.721625,25.811697,D,4/7/1995,270.190000,,90.340000,2.150000,,0.080000,,,461.000000,8.850000,,,5.930000,,5.930000,1.420000,,0.751000,,,,,7.730000,180.000000,,540.000000,7.200000,4.000000,,,26.500000,32.220000,,32.220000,,170.000000,2.810000,24.990000,,,,,443.180000,28.520000,2.100000,2.500000
M039,-80.45302,26.16249,D,4/8/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000
