"","ln_Hg_fish","DOC","soil_drywt","sulfide","sulfate","MeHg_soil","MeHg_water","Hg_soil","MeHg_peri","TN","TP"
"359",3.970291914,2.86220088092947,2.39880395073459,-3.16050779429853,0.641853886172395,1.16315080980568,-2.79688141480883,4.86753445045558,NA,-0.63487827243597,2.14006616349627
"360",4.430816799,2.83321334405622,2.56571829252441,-3.42156414325217,-0.59783700075562,1.87180217690159,-2.04022082852655,5.13579843705026,NA,-0.755022584278033,2.23001440015921
"361",3.555348061,2.91777073208428,2.48573963609189,-3.50330947914794,-1.46967597005894,-0.083381608939051,-2.81341071676004,5.29831736654804,-1.51412773262978,-0.430782916092454,2.30258509299405
"362",3.583518938,2.89037175789616,4.34393528355116,-2.0444442963624,1.80828877117927,0.587786664902119,-0.916290731874155,3.61091791264422,NA,-0.579818495252942,2.10413415427021
"363",3.713572067,2.9704144655697,4.46602305457793,-2.14243092734761,-2.12026353620009,-1.13943428318836,-2.81341071676004,3.71357206670431,NA,-0.446287102628419,3.52636052461616
"364",3.737669618,2.70805020110221,3.21927574488953,-3.59469299635789,-0.941608539858445,1.22377543162212,-2.81341071676004,4.78749174278205,NA,-0.7339691750802,2.30258509299405
"365",3.80666249,2.63905732961526,2.99623214859564,-3.42156414325217,0.262364264467491,1.25276296849537,-2.61729583783375,4.78749174278205,NA,-0.713349887877465,2.05412373369555
"366",4.700480366,2.7408400239252,3.33256158927202,-3.42156414325217,-1.42711635564015,0.0953101798043249,-2.81341071676004,4.86753445045558,NA,-0.527632742082372,2.01490302054226
"367",5.598421959,2.89037175789616,2.77321352700862,-2.15749670050449,0.741937344729377,0.182321556793955,-2.50103603171788,5.13579843705026,NA,-0.478035800943,1.82454929205105
"368",2.564949357,2.77258872223978,3.17847041023316,-3.00986933253485,1.45861502269952,1.87180217690159,-2.81341071676004,5.56068163101553,-2.12026353620009,-0.63487827243597,2.26176309847379
"369",2.944438979,2.80336038090653,3.40153065945228,-3.21800542877281,1.88706964903238,-0.430782916092454,-2.81341071676004,5.13579843705026,NA,-0.755022584278033,2.56494935746154
"370",3.091042453,2.86220088092947,3.9891692146048,-0.619986551851501,2.56494935746154,-0.693147180559945,-2.47693848013882,4.60517018598809,NA,-0.510825623765991,2.39789527279837
"371",3.526360525,2.83321334405622,2.63977136034892,-3.16050779429853,1.09861228866811,-0.755022584278033,-2.56394985712845,5.52146091786225,2.14006616349627,-0.562118918153541,2.63905732961526
"372",3.663561646,2.99573227355399,2.94496515650034,-3.34761651127288,1.58923520511658,-1.02165124753198,-2.3434070875143,5.52146091786225,NA,-0.301105092783922,2.83321334405622
"373",3.713572067,2.91777073208428,3.25848107946056,-1.94578930735697,0.832909122935104,-0.127833371509885,-2.60369018577797,5.48063892334199,NA,-0.356674943938732,2.09186406167839
"374",2.48490665,3.04452243772342,2.39880395073459,-2.00596387155328,2.83321334405622,0.470003629245736,-0.478035800943,5.39362754635236,NA,-0.27443684570176,2.23001440015921
"375",2.63905733,2.89037175789616,4.29059641806799,-0.873115229028579,1.62924053973028,-1.23787435600162,-1.66073120682165,5.29831736654804,NA,-0.174353387144778,1.88706964903238
"376",2.63905733,2.94443897916644,3.04499851485691,-3.50330947914794,-0.116533816255952,-0.287682072451781,-1.38629436111989,4.78749174278205,NA,-0.210721031315653,2.484906649788
"377",2.63905733,3.06805293513362,2.56571829252441,-2.36563280061319,1.66770682055808,-0.415515443961666,-0.916290731874155,5.13579843705026,NA,-0.356674943938732,2.63905732961526
"378",2.708050201,2.7408400239252,2.83380140640777,-3.42156414325217,-1.51412773262978,0.832909122935104,-1.89711998488588,4.9416424226093,NA,-0.462035459596559,2.63905732961526
"379",3.17805383,3.04452243772342,2.77321352700862,-3.59469299635789,-0.198450938723838,0.741937344729377,-2.20727491318972,4.78749174278205,NA,-0.162518929497775,2.89037175789616
"380",3.218875825,3.2188758248682,2.63977136034892,-2.62272055242526,3.49650756146648,-0.941608539858445,-2.70306265959117,5.24702407216049,NA,-0.162518929497775,2.06686275947298
"381",2.833213344,3.2188758248682,2.48573963609189,-0.593194463120639,3.29583686600433,-0.0304592074847086,-2.55104645229255,5.48063892334199,NA,0.0953101798043249,2.00148000021012
