STA_ID,LONG,LAT,SEASON,Date,THG_Fish,Floc_Depth_ft,AFDW_Floc,MEHG_Floc,THG_floc,Tot_Phos_floc,Bulk_Dens_Floc,Soil_Thickness_FT,AFDW_Soil,Bulk_Dens_Soil,PH_soil,SO4_soil,MEHG_soil,THG_soil,Tot_Carbon_Soil_%,Tot_Nitrogen_Soil_%,Tot_Phos_soil,Wat_Depth_ft,COND_SW,DO_SW,TEMP_SW,PH_SW,TURB_SW,REDOX_SW,Alk_Phos_SW,CHLA_SW,CL_SW,MEHG_SW,NH4_SW,NO2_SW,NO3_SW,SO4_SW,Sol_Reac_Phos_SW,THG_SW,TOC_SW,Tot_Nitrogen_SW,Tot_Phos_SW,REDOX_PW,H2S_PW,Sol_Reac_Phos_PW,MEHG_Peri_AVG,THG_epi_peri
M029,-80.579806,26.271222,D,4/9/1995,99.89,,,,,,,2.4,75.75,0.18,,220,1.78,86,,,823.3,1,599,2.14,23.94,7.16,0.75,,0.29,,,0.365,,,,16,,1.44,25.41,,10.93,272.5,,,,
M042,-80.706908,26.065739,D,4/9/1995,562.75,,,,,,,2,85.53,0.09,,440,1.15,180,,,556.63,1.3,322,3.65,25.45,7.27,10.05,,2.55,,,2.19,,,,2,,5.06,16,,24.42,-53,,,22,55.8
M034,-80.526757,26.239858,D,4/9/1995,125.11,,,,,,,2.5,71.37,0.17,,240,0.69,88,,,432.28,1.5,416,3.24,26.7,7.21,1.23,,1.53,,,0.299,,,,4,,1.65,19.37,,13.64,213.5,,,3.91,59.28
M043,-80.649557,26.091782,D,4/9/1995,828.62,,,,,,,3,86.86,0.1,,440,1.23,180,,,485.06,1.3,453,4.72,27.09,7.09,1.93,,1.88,,,1.42,,,,7.1,,3.32,21.64,,14.49,187,,,18.55,48.61
M036,-80.686518,26.145218,D,4/9/1995,257.39,,,,,,,2.2,39.65,0.24,,180,0.29,120,,,625.24,1.2,391,4.39,28.03,7.3,1.77,,0.67,,,0.341,,,,5.1,,2.12,19.06,,24.49,195.7,,,,
M019,-80.315315,26.213331,D,4/9/1995,165.04,,,,,,,5.4,88.15,0.11,,360,1.24,150,,,358.45,1.1,894,4.5,27.26,7.65,1.77,,2.36,,,1.38,,,,38,,4.53,38.61,,17.77,177.5,,,1.15,51.54
M017,-80.370929,26.23855,D,4/9/1995,167.01,,,,,,,3.9,86.68,0.07,,520,0.07,170,,,415.01,3,1055,7,30.79,7.93,0.83,,1.21,,,0.783,,,,59,,3.37,41.43,,24.1,85,,,1.51,68.63
M035,-80.779932,26.136045,D,4/9/1995,275.74,,,,,,,0.5,72,0.1,,320,1,150,,,481.82,0.9,513,5.63,26.33,7.36,1.84,,2.22,,,1.17,,,,4,,3.18,22.88,,12.4,107,,,14.51,54.61
M016,-80.440023,26.241959,D,4/9/1995,306.02,,,,,,,3.3,86.5,0.09,,600,0.53,110,,,361.13,2.5,591,4.48,28.81,7.48,1.23,,0.79,,,0.86,,,,28,,3.6,28.19,,30.85,220,,,,
M031,-80.738429,26.193525,D,4/9/1995,469.82,,,,,,,1.6,67.75,0.14,,280,,220,,,497.42,1.3,385,4.45,26.59,7.42,3.03,,2.35,,,1.71,,,,2,,3.28,20.7,,19.12,-135,,,4.39,74.22
